"","from","to","source","path","from.Role","to.Role"
"24054","CCL4","MET","NicheNet","CCL4*MET","Receptor","TF"
"24055","CXCL3","JUN","NicheNet","CXCL3*JUN","Receptor","TF"
"24056","CXCL3","CREB1","NicheNet","CXCL3*CREB1","Receptor","TF"
"24057","CXCL12","POU5F1","NicheNet","CXCL12*POU5F1","Receptor","TF"
"24058","CXCL12","ERBB2","NicheNet","CXCL12*ERBB2","Receptor","TF"
"24059","SELE","HAND1","NicheNet","SELE*HAND1","Receptor","TF"
"24060","SELL","AKT1","NicheNet","SELL*AKT1","Receptor","TF"
"24061","SELP","HAND1","NicheNet","SELP*HAND1","Receptor","TF"
"24062","SELP","IRF8","NicheNet","SELP*IRF8","Receptor","TF"
"24063","SELPLG","EGFR","NicheNet","SELPLG*EGFR","Receptor","TF"
"24064","SFRP1","CTNNB1","NicheNet","SFRP1*CTNNB1","Receptor","TF"
"24065","FRZB","CTNNB1","NicheNet","FRZB*CTNNB1","Receptor","TF"
"24066","FRZB","EGFR","NicheNet","FRZB*EGFR","Receptor","TF"
"24067","SORL1","MYC","NicheNet","SORL1*MYC","Receptor","TF"
"24068","SCARB1","POU5F1","NicheNet","SCARB1*POU5F1","Receptor","TF"
"24069","TEK","AKT1","NicheNet","TEK*AKT1","Receptor","TF"
"24070","TGFA","PGR","NicheNet","TGFA*PGR","Receptor","TF"
"24071","TGFA","IGF1R","NicheNet","TGFA*IGF1R","Receptor","TF"
"24072","TGFB1","KRAS","NicheNet","TGFB1*KRAS","Receptor","TF"
"24073","TGFB1","SRF","NicheNet","TGFB1*SRF","Receptor","TF"
"24074","TGFB1","FGFR3","NicheNet","TGFB1*FGFR3","Receptor","TF"
"24075","TGFB2","JUN","NicheNet","TGFB2*JUN","Receptor","TF"
"24076","TGFB2","CEBPB","NicheNet","TGFB2*CEBPB","Receptor","TF"
"24077","TGFB2","STAT5A","NicheNet","TGFB2*STAT5A","Receptor","TF"
"24078","TGFB2","IRF1","NicheNet","TGFB2*IRF1","Receptor","TF"
"24079","TGFB3","FST","NicheNet","TGFB3*FST","Receptor","TF"
"24080","TGFBR1","FST","NicheNet","TGFBR1*FST","Receptor","TF"
"24081","TGFBR2","MET","NicheNet","TGFBR2*MET","Receptor","TF"
"24082","TLR4","IRF1","NicheNet","TLR4*IRF1","Receptor","TF"
"24083","TLR4","SNCA","NicheNet","TLR4*SNCA","Receptor","TF"
"24084","TLR4","BACH1","NicheNet","TLR4*BACH1","Receptor","TF"
"24085","TLR4","TCF4","NicheNet","TLR4*TCF4","Receptor","TF"
"24086","TNF","SPI1","NicheNet","TNF*SPI1","Receptor","TF"
"24087","TNF","NFATC1","NicheNet","TNF*NFATC1","Receptor","TF"
"24088","TNF","POU2F2","NicheNet","TNF*POU2F2","Receptor","TF"
"24089","TNF","POU2AF1","NicheNet","TNF*POU2AF1","Receptor","TF"
"24090","TNFRSF11A","TCF12","NicheNet","TNFRSF11A*TCF12","Receptor","TF"
"24091","TNFRSF11A","CTNNB1","NicheNet","TNFRSF11A*CTNNB1","Receptor","TF"
"24092","TNFRSF11A","LTBR","NicheNet","TNFRSF11A*LTBR","Receptor","TF"
"24093","TNFRSF1A","LTBR","NicheNet","TNFRSF1A*LTBR","Receptor","TF"
"24094","TNFRSF1B","NTRK2","NicheNet","TNFRSF1B*NTRK2","Receptor","TF"
"24095","TNFRSF1B","LTBR","NicheNet","TNFRSF1B*LTBR","Receptor","TF"
"24096","CD40","HAND1","NicheNet","CD40*HAND1","Receptor","TF"
"24097","CD40","RARA","NicheNet","CD40*RARA","Receptor","TF"
"24098","CD40","SRC","NicheNet","CD40*SRC","Receptor","TF"
"24099","CD40","POU2AF1","NicheNet","CD40*POU2AF1","Receptor","TF"
"24100","CD40","POU2F1","NicheNet","CD40*POU2F1","Receptor","TF"
"24101","CD40","POU2F2","NicheNet","CD40*POU2F2","Receptor","TF"
"24102","CD40","PPARGC1A","NicheNet","CD40*PPARGC1A","Receptor","TF"
"24103","TNFSF11","STAT6","NicheNet","TNFSF11*STAT6","Receptor","TF"
"24104","TNFSF11","TCF12","NicheNet","TNFSF11*TCF12","Receptor","TF"
"24105","TNFSF11","CTNNB1","NicheNet","TNFSF11*CTNNB1","Receptor","TF"
"24106","TNFSF11","LEPR","NicheNet","TNFSF11*LEPR","Receptor","TF"
"24107","CD40LG","LTBR","NicheNet","CD40LG*LTBR","Receptor","TF"
"24108","CD40LG","HAND1","NicheNet","CD40LG*HAND1","Receptor","TF"
"24109","CD40LG","SYK","NicheNet","CD40LG*SYK","Receptor","TF"
"24110","CD40LG","STAT1","NicheNet","CD40LG*STAT1","Receptor","TF"
"24111","CD40LG","POU2AF1","NicheNet","CD40LG*POU2AF1","Receptor","TF"
"24112","CD40LG","POU2F1","NicheNet","CD40LG*POU2F1","Receptor","TF"
"24113","CD40LG","POU2F2","NicheNet","CD40LG*POU2F2","Receptor","TF"
"24114","CD70","LTBR","NicheNet","CD70*LTBR","Receptor","TF"
"24115","TRAF2","SMAD4","NicheNet","TRAF2*SMAD4","Receptor","TF"
"24116","TRAF2","TCF4","NicheNet","TRAF2*TCF4","Receptor","TF"
"24117","TRAF2","NFATC1","NicheNet","TRAF2*NFATC1","Receptor","TF"
"24118","TNFSF10","CDK4","NicheNet","TNFSF10*CDK4","Receptor","TF"
"24119","TFRC","RB1","NicheNet","TFRC*RB1","Receptor","TF"
